ensembl_id,gene_symbol
ENSGALG00000000645,ESPN
ENSGALG00000000650,NIP7
ENSGALG00000000652,ACOT7
ENSGALG00000000653,CNTN2
ENSGALG00000000654,
ENSGALG00000000656,TMEM81
ENSGALG00000000657,TERF2
ENSGALG00000000660,CYB5B
ENSGALG00000000667,EDN2
ENSGALG00000000668,RBBP5
ENSGALG00000000669,ETV3
ENSGALG00000000670,DSTYK
ENSGALG00000000671,NFAT5
ENSGALG00000000672,SCMH1
ENSGALG00000000673,TMCC2
ENSGALG00000000674,MYO1D
ENSGALG00000000675,CTPS1
ENSGALG00000000678,CITED3
ENSGALG00000000680,NUAK2
ENSGALG00000000681,PAK1
ENSGALG00000000684,KLHDC8A
ENSGALG00000000685,MAP3K14
ENSGALG00000000687,KIAA0556
ENSGALG00000000690,GDPD4
ENSGALG00000000692,CDK18
ENSGALG00000000693,NOB1
ENSGALG00000000694,FMNL1
ENSGALG00000000695,MFSD4
ENSGALG00000000699,WWP2
ENSGALG00000000701,ELK4
ENSGALG00000000703,SLC45A3
ENSGALG00000000706,MKS1
ENSGALG00000000707,PSMD7
ENSGALG00000000708,NUCKS1
ENSGALG00000000710,RNF207
ENSGALG00000000712,RAB29
ENSGALG00000000713,ZFHX3
ENSGALG00000000719,RPL22
ENSGALG00000000720,
ENSGALG00000000721,SLC41A1
ENSGALG00000000722,
ENSGALG00000000723,STX12
ENSGALG00000000724,PM20D1
ENSGALG00000000725,RFX7
ENSGALG00000000726,ELAVL1
ENSGALG00000000729,PPP1R8
ENSGALG00000000730,CACNA1S
ENSGALG00000000731,THEMIS2
ENSGALG00000000733,MYO7A
ENSGALG00000000734,RPA2
ENSGALG00000000735,CDD
ENSGALG00000000736,MATK
ENSGALG00000000737,SMPDL3B
ENSGALG00000000739,XKR8
ENSGALG00000000740,APBA3
ENSGALG00000000742,PIM1
ENSGALG00000000745,SLC26A9
ENSGALG00000000747,CHD5
ENSGALG00000000748,TJP3
ENSGALG00000000750,CAPN5
ENSGALG00000000751,ARNT
ENSGALG00000000753,TBC1D22B
ENSGALG00000000755,ACER3
ENSGALG00000000761,TSKU
ENSGALG00000000764,SSR2
ENSGALG00000000766,ZMAT2
ENSGALG00000000769,RAB7B
ENSGALG00000000771,PLA2G15
ENSGALG00000000774,TLR21
ENSGALG00000000775,CTSS
ENSGALG00000000776,BRPF3
ENSGALG00000000777,EYA3
ENSGALG00000000779,
ENSGALG00000000780,SMPD3
ENSGALG00000000781,MLLT11
ENSGALG00000000783,PTAFR
ENSGALG00000000784,PIP5K1C
ENSGALG00000000785,HYAL1
ENSGALG00000000786,CTSE
ENSGALG00000000787,DHX38
ENSGALG00000000788,AVT2R
ENSGALG00000000789,
ENSGALG00000000790,DNAJC8
ENSGALG00000000791,
ENSGALG00000000793,VPS72
ENSGALG00000000794,HARS
ENSGALG00000000795,MFSD12
ENSGALG00000000800,PRMT7
ENSGALG00000000802,DHODH
ENSGALG00000000803,
ENSGALG00000000804,SLC7A6OS
ENSGALG00000000806,LINGO3
ENSGALG00000000807,
ENSGALG00000000808,
ENSGALG00000000810,C19orf35
ENSGALG00000000811,IST1
ENSGALG00000000812,OAZ
ENSGALG00000000814,HNRNPR
ENSGALG00000000816,
ENSGALG00000000817,ZNF821
ENSGALG00000000818,LRRC32
ENSGALG00000000819,
ENSGALG00000000820,HTR1D
ENSGALG00000000823,
ENSGALG00000000824,
ENSGALG00000000826,MAPK13
ENSGALG00000000830,C11orf30
ENSGALG00000000833,IK
ENSGALG00000000834,RASSF5
ENSGALG00000000835,PLEKHJ1
ENSGALG00000000836,RFX5
ENSGALG00000000837,FKBP6
ENSGALG00000000838,PRKRIR
